Presentation Title,Description or Abstract,Org_1_id,Org_2_id,Org_3_id,Org_4_id,Org_5_id,Org_6_id,Org_7_id,Topic_1,Topic_2,Topic_3,Academic_Discipline_1,Academic_Discipline_2,OfficeDepartment1,OfficeDepartment2,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Org_ID,PositionTitle_1,Author2_Name,Author2_Org_ID,PositionTitle_2,Author3_Name,Author3_Org_ID,PositionTitle_3,Author4_Name,Author4_Org_ID,PositionTitle_4,Author5_Name,Author5_Org_ID,PositionTitle_5,Author6_Name,Author6_Org_ID,PositionTitle_6,Author7_Name,Author7_Org_ID,PositionTitle_7,Author8_Name,Author8_Org_ID,PositionTitle_8,File1_URL,File2_URL,File3_URL,File4_URL
Where civil rights fit into sustainability: an environmental justice workshop,"An in-depth exploration of how civil rights and environmental justice fit into the global sustainability framework, this presentation will utilize case studies from across the US to exemplify how environmental injustice is affecting the health of communities across the country. It is the purpose of this workshop to explore potential policy and non-policy solutions, as well as to better define the social pillar of sustainability. This presentation takes extensive research to draw that conclusion that perhaps the health disparities we see across the US are not genetic, but rather environmental.",3169,,,,,,,Diversity & Affordability,Public Engagement,,,,,,"environmental justice,civil rights",10/3/2018,AASHE,Poster,Rebecca Evans,3169,Campus Sustainability Coordinator, ,,, ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/9449/1430_Evans_0791.pdf,,,
Building Relationships Between Sustainability Offices and Diversity Offices,"Sustainability offices and diversity offices have a lot in common - both in our roles and in our subject matter. Both offices are change agents, frequently struggling against the same kinds of resistance. In subject matter, the historical roots of current environmental problems have a lot of overlap with the roots of inequality, and any lasting solution to one requires a solution to the other. There are compelling reasons for sustainability offices and diversity offices to collaborate, but building that bridge can be a challenge. The Zilkha Center for Environmental Initiatives at Williams College (our sustainability office) and the Davis Center (our center for social identity, inclusion and activism) have had an active and productive collaboration for years, including periodic joint staff meetings, strategic planning, and joint programming. That relationship was purposely developed over time, and this session will address how sustainability offices can follow a similar path. The session will cover four steps in building such a relationship: self-education, being a good ally/accomplice, building personal relationships and initiating joint programming. The presenter will use examples from Williams' experience to demonstrate the different stages and will provide a list of resources for further exploration.",59,,,,,,,Diversity & Affordability,,,,,Diversity & Multicultural Affairs,Sustainability Office,"social justice,on-campus collaboration",10/3/2018,AASHE,Presentation,Cecilia Del Cid,59,"Assistant Director, the Davis Center",Amy Johns,59,"Director, Zilkha Center for Environmental Initiatives",Mike Evans,59,"Assistant Director, Zilkha Center for Environmental Initiatives", ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8436/1045_Evans_0830.pdf,,,
Step Changes in Climate Action: Data-Driven Plans to Decarbonize Campus Energy Systems,"Answering the call to address the climate crisis is one of the central themes of the United Nations Sustainable Development Goals. Colleges and universities have been working to deploy energy efficient, net zero energy, and Living Building Challenge buildings on their campuses for a number of years to help meet their greenhouse gas reduction goals. However, many are now looking to develop date specific and dynamic decarbonization plans that examine how a campus can achieve fossil-fuel freedom through the total transformation of their energy systems. This effort to move towards real-time data-driven decision-making marks a cutting-edge development in energy planning on campuses. In this session, Dano Weisbord from Smith College and Laura Draucker from Amherst College will discuss the reasons behind their pursuit of holistic energy system transformations to achieve carbon neutrality, and how they both partnered with Integral Group to develop an innovative plan to meet our goals. They will also speak to how the plans are currently being implemented on their campuses, and their efforts to infuse the results of the decarbonization planning efforts into the curriculum on campus and into individual behavioral decisions by faculty, staff and students. Our session will guide the audience through the process of decision-making and planning for real-time and data-driven carbon positive colleges and universities.",2649,4705,7744,,,,,Energy,Air & Climate,Buildings,,,,,"carbon neutrality,energy reduction,energy management",10/4/2018,AASHE,Presentation,Laura Draucker,2649,Director of Sustainability,Dano Weisbord,4705,Director of Sustainability and Campus Planning,Bill Updike,7744,Principal, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8532/0915_Draucker_0921.pptx,,,
So You've Got Energy Meters - Now what? Dealing With the Other Challenges to Getting Energy Data,"It's hard to manage what you don't measure, and this is especially true with energy. We are strong believers in the role energy data analysis plays in helping us identify and prioritize projects, track progress, engage students, and drive behavior change. In an effort to act on this, we have also learned the hard way that it is never as simple as getting the funding and installing meters. While we have all seen great presentations on the benefits of metering, none of us were prepared for the additional questions and challenges that come with a metering project. Should you do them all at once or start small? Are your old meters collecting the right data or do they need to be replaced? Should you meter steam? Where does the data go and who has access to it? Do you want the data stored in the cloud or a server? Is the data real time? Who is even leading this project - facilities, sustainability, IT? If you are considering adding meters to campus, join us for an opportunity to learn from our mistakes and successes. If you have meters and have experiences you also want to share, please join us as well. This will be an open and frank discussion, with a goal to support each other in our efforts to reduce energy use on our campus and create living lab opportunities through data. This session will address the Partnership and Climate Action SDG goals.",2649,4705,59,,,,,Energy,Buildings,,,,,,energy metering,10/3/2018,AASHE,Presentation,Laura Draucker,2649,Director of Sustainability,Dano Weisbord,4705,Director of Sustainability and Campus Planning,Amy Johns,59,"Director, Zilkha Center for Environmental Initiatives", ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8536/1130_Draucker_0923.pptx,,,
Reduce Peak Demand and Increase Grid Stability With On-Site Energy Storage,"The Austin Community College District (ACC) has installed a 72kW energy storage system on their Eastview campus. The grant funded battery project, known as Sustainable and Holistic Integration of Energy Storage (SHINES) was paid for by the Department of Energy and a competitive site selection process was managed through the local utility: Austin Energy. In this presentation we will discuss onsite energy storage as a viable option for higher education facilities, overall objectives and project goals, construction concerns, realized benefits, and answer questions. The Eastview campus was selected to host the SHINES Energy Storage System in part because of ACC's commitment to utilize this cutting edge battery system for education as well as site specific elements such as the campus' location in a growing part of town and a preexisting 100.8kW roof-mounted solar array. Energy storage mitigates the risk of a utility outage by supplying power during peak usage times to reduce the facility's burden on the grid and is a potential solution to the grid stability disadvantage caused by the intermittency and variability of other energy sources, such as solar production. The SHINES project attempts to demonstrate a solution adaptable to any region and market structure. Results, including daily output graphs showing the peak-shaving capabilities of the battery capacity and management software, will also be discussed.",2066,,,,,,,Energy,Buildings,,,,,,energy storage,10/3/2018,AASHE,Presentation,Caleb Crow,2066,Sustainability Staff,Andy Kim,2066,"Director, Energy & Sustainability", ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8164/0830_Crow_0568.pdf,,,
"Bates College Conversion to Burn New Wood-Based, Liquid Fuel in Central Steam Plant","Bates College has begun burning a new, wood-based liquid fuel in its central steam plant - the first college in the country to do so. This new fuel, called Renewable Fuel Oil, has an extremely low carbon lifecycle emissions profile. The fuel is cheaper than natural gas, and because it is a liquid fuel, is much easier to retrofit compared to other biomass-based solutions. It has been an integral part of the College's ability to make large strides towards our Carbon Neutrality pledge of 2020. The fuel, if popularized, has the additional potential to revitalize the Northeast's struggling low-grade wood industry. We will share our process and lessons learned with the fuel, highlighting steps needed for schools interested in using this fuel.",4335,,,,,,,Energy,Air & Climate,Buildings,,,,,"biomass,biofuels",10/3/2018,AASHE,Poster,Tom Twist,4335,Sustainability Manager, ,,, ,,, ,,, ,,, ,,, ,,, ,,,,,,
Estimating the financial feasibility and technical potential for solar PV on all U.S. schools,"In 2016, approximately 64% of total electricity generated in the United States came from fossil fuel sources, while approximately 2% came from solar photovoltaic (PV) electricity generation. Due to this mostly fossil fuel dependent electricity portfolio, electricity generation accounts for approximately 35% of total U.S. carbon dioxide (CO2) emissions each year. Solar PV can significantly reduce emissions of CO2 and other harmful pollutants such as PM2.5, which have asymmetric negative effects for at-risk populations such as asthmatics, the elderly, and low-income families. According to the Commercial Building Energy Consumption Survey (CBECS) database, educational institutions account for 11% of total U.S. building electricity consumption and 14% of building floorspace - as a result, they contribute to approximately 4% of total U.S. CO2 emissions. Therefore, we wish to estimate the reductions in the emissions of CO2, PM2.5, SO2, and NOX and their associated avoided damages by installing solar PV on educational institutions throughout the United States. In previous work, we described a method for estimating the technical potential of solar PV on educational institutions using Light Detection and Ranging (LIDAR) data for 29% of all of the U.S. schools. Using only those estimates, we found a total technical potential of 12 GW and 19 TWh/yr, covering 0.1 billion m2 of rooftop space and serving 25 million students and teachers in associated facilities. In this paper, we perform a benefit-cost analysis (BCA) at the school-level for various scenarios to address these research questions: 1.        What are the total annualized lifetime cost and benefits - both private and public - of installing today rooftop solar PV systems on all U.S. educational institutions today? 2.        How sensitive are BCA results to the following inputs: (1) discount rate, (2) value of excess generation, (3) financing (i.e. third party ownership options), and (4) value of mitigated damages?",2849,,,,,,,Energy,Buildings,,,,,,solar,10/3/2018,AASHE,Poster,Inês Azevedo,2849,Professor, ,,, ,,, ,,, ,,, ,,, ,,, ,,,,,,
"Piloting of a Hybrid Continuous, Live, Virtual, and Traditional Energy Audit Methodology","This poster showcases a comprehensive, student-driven energy efficiency study at Florida Gulf Coast University. This case study examines best practices for energy metering and benchmarking in a single campus building. This project lays the foundation for implementing future campus-wide energy efficiency projects to decrease the institution's carbon footprint while saving money. By partnering with EKM Metering, the institution will develop an interactive energy dashboard for more effective building management and monitoring.",7961,,,,,,,Energy,Buildings,,,,,,"energy metering,energy audits,benchmarking",10/3/2018,AASHE,Poster,Courtney Gammon,7961,Undergraduate Student, ,,, ,,, ,,, ,,, ,,, ,,, ,,,,,,
"The Upgrade Alternative: When Energy Upgrades Prove Cost Prohibitive, Microgrids Offer Another Path","K-12 and higher education systems across the U.S. and beyond often struggle to upgrade or install energy efficient HVAC and other energy equipment in the face of shrinking budgets, escalating electricity bills and aging infrastructure. A program introduced by The Hawaii Department of Education offers a solution for schools and institutions worldwide who are wrestling with similar economic pressures. In response to a $1.6 billion campus air conditioning installation shortfall, the Hawaii Department of Education found a game-changing solution in microgrids. The capital cost of implementing microgrids with roof-top PV+storage together with split system A/C units to cool individual classrooms proved to be substantially lower than traditional central air systems. Plus, having on-site energy storage and flexibility in programming the power electronics allowed schools to keep their current energy costs and energy access stable while maintaining grid-connection for backup power. Looking at the Hawaii case study and beyond, this session will examine how creating distributed microgrid assets that spare the cost of infrastructure upgrades and reduce energy costs month-over-month can offer a new avenue to improved operations, sustainability and long term energy resiliency for the education sector. Beyond a compelling economic case, the session will also touch on the added benefit of microgrids in helping to insulate colleges and universities from grid instability and lack of availability in times of natural disaster or other crises.",8354,,,,,,,Energy,Buildings,,,,,,"microgrids,disaster & emergency response",10/3/2018,AASHE,Poster,Catherine Von Burg,8354,CEO and President, ,,, ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/9600/1430_VonBurg_0966.pdf,,,
University of Denver's Renter Efficiency Program for Students,"The University of Denver's Renter Efficiency Program for Students offers free energy audits to students who are renting off campus houses or apartments. The goal of these energy audits is to teach energy and water efficient practices. This includes how to program a thermostat, how to identify and fix drafty windows, how to install weather stripping to doors, and many other energy and water efficient practices. This service is provided because students often don't feel like investing into a property they will only spend a few months in just to save on their energy bills, and the landlords do not make improvements since they typically don't pay the energy bills. By offering this program for free, we solve this split incentive dilemma between renters and landlords not wanting to make energy efficient improvements to the property.",2186,,,,,,,Energy,Air & Climate,Buildings,,,,,"housing,energy audits",10/3/2018,AASHE,Poster,Aziz Syammach,2186,"REPS Program Lead, Center for Sustainability", ,,, ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/9009/1430_Syammach_0300.pdf,,,
