Event ID,Presentation_Title,Description,Org_1,Org_1_id,Org_2,Org_2_id,Org_3,Org_3_id,Org_4,Org_4_id,Org_5,Org_5_id,Org_6,Org_6_id,Topic_1,Topic_2,Topic_3,Academic_Discipline_1,Office_Dept_1,Office_Dept_2,Tags,Presentation_Date,Conference_Name,Presentation_Type,Author1_Name,Position/Title _1,Author_Org_1,Author_Org_1_id,Author2_Name,Position/Title _2,Author_Org_2,Author_Org_2_id,Author3_Name,Position/Title _3,Author_Org_3,Author_Org_3_id,Author4_Name,Position/Title _4,Author_Org_4,Author_Org_4_id,Author5_Name,Position/Title _5,Author_Org_5,Author_Org_5_id,Author6_Name,Position/Title _6,Author_Org_6,Author_Org_6_id,Author7_Name,Position/Title _7,Author_Org_7,Author_Org_7_id,Author8_Name,Position/Title _8,Author_Org_8,Author_Org_8_id,File1_Title,File1_URL,File2_Title,File2_URL,File3_Title,File3_URL,File4_Title,File4_URL
2099,Carbon Pricing on Campus IV: Networking Session for Institutions Advancing Carbon Pricing Solutions,"There are now nine higher education institutions in the U.S. that have implemented some form of an internal price on carbon, and many more exploring this strategy. Following up on last year's successful networking session, come learn the latest on how students, sustainability staff, faculty, and administrators are collaborating to advance carbon pricing at their schools and local communities, and how you can bring carbon pricing home to your school. Carbon pricing is a fair, effective, and powerful policy solution to accelerate the transition away from a fossil fuel-based economy. With a growing number of pricing policies around the world and increasing momentum in the US at the national level and in several states, higher education has an important role to play in educating our communities about, and building political will for, carbon pricing solutions. We will share how schools have instituted internal carbon pricing programs, directly endorsed federal and state pricing policies, and worked to educate our campuses and local communities. We will help connect attendees with key tools in the Toolkit for Carbon Pricing in Higher Education. This networking session is for administrators, faculty, staff, and students from institutions at any level of background or progress--for those who have implemented internal prices to those who are just learning about the topic.",Arizona State University,4531,Yale University,3678,Smith College,4705,Second Nature,0123,,,,,Air & Climate,Public Engagement,Coordination & Planning,,,,"carbon pricing,community engagement",10/28/2019,AASHE,Presentation,Mick Dalrymple,"Director, University Sustainability Practices",Arizona State University,4531,Casey Pickett,Director of the Carbon Charge,Yale University,3678,Alex Barron,Assistant Professor - ES&P,Smith College,4705,Ruby Woodside,Innovative Services Manager,Second Nature,0123,,,,,,,,,,,,,,,,,1645_Dalrymple_1564.pdf,https://files.aievolution.com/ash1901/events/16797/1645_Dalrymple_1564.pdf,,,,,,
2296,"Carbon and Nitrogen 'Footprinting' 101: Tools for Sustainability Education, Advocacy, and Planning","It's well-established that calculating the campus carbon and nitrogen footprint provides important quantitative information to assess, track, and improve campus sustainability, yet the majority of colleges and universities across the US (and globe) haven't yet conducted either. Even for those campuses that have done so, there are many untapped opportunities for faculty members and students to be involved in this assessment exercise. For faculty in disciplines as diverse as math and statistics to policy to planning, from environmental science and sustainability to food systems and agriculture, from energy and economics to business and management, exploration of the campus carbon and/or nitrogen footprints can be a powerful pedagogical tool for applying theoretical concepts to real-world problems and tasks. For students, contributing to a campus footprint assessment can provide a credible platform from which to advocate for institutional change, and enhance knowledge of how complex organizations-like one's own campus-work. Knowing where to start and how to calculate a meaningful footprint can be challenging, but doing so can also encourage new lines of communication, insight and creativity on campus. In this session, we will introduce some basic GHG and Nitrogen accounting concepts, outline best practices for collecting relevant 'activity' data (i.e. data about campus activities that have greenhouse gas and nitrogen impacts), and introduce the web-based SIMAP (Sustainability Indicator Management and Analysis Platform) which is designed to support completion of carbon and nitrogen inventories and used by over more than 90% of the campuses that currently track their footprints. This session will feature a panel presentation of roughly 30 minutes, and then we will break into small groups for discussion, planning and problem-solving.",University of New Hampshire,0724,,,,,,,,,,,Air & Climate,Campus Engagement,Coordination & Planning,,,,"carbon footprint,nitrogen footprint,nitrogen,SIMAP",10/28/2019,AASHE,Poster,Jennifer Andrews,Project Director,University of New Hampshire,0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,University of Californiac's RFI for Campus-initiated Offsets & the Offset Network Peer Verification,"The Offset Network is an online platform for colleges and universities considering the development of their own emission-reducing projects to fulfill carbon neutrality commitments. Self-generated offsets offer greater flexibility than market-based purchases to focus offset investments on projects that directly fulfill academic mission. Campus-initiated projects can expand and apply campus research, directly benefit nearby communities, and offer students applied educational opportunities such as through project co-design, involvement in project implementation and monitoring, and cross-campus peer verification. Self-generated offsets are impactful projects that have appealed to administrators, fulfilling climate goals while promoting community engagement and doing what colleges/universities do best - education, research, public service, and developing and testing climate solutions. The University of California system of ten campuses has embraced this approach to offsets with its system-wide release of a Request for Ideas (RFI) for University-initiated projects earlier this year. The RFI engages faculty, staff, students, and researchers in the conception and eventual design and implementation of carbon offset projects towards the system's 2025 Carbon Neutrality Initiative goal. This panel presentation will discuss UC's process of developing and releasing the RFI, reviewing submissions, and the RFI's outcomes. The panel will also give an overview of the OffsetNetwork.org's innovative and peer verification pathways that enable UC's self-generation approach. This panel will present perspectives from a UC campus, a researcher leading the RFI process, Offsets Network, and Second Nature.",Second Nature,0123,"University of California, Berkeley",4473,"University of California, Davis",4501,Duke University,1336,,,,,Air & Climate,Public Engagement,,,,,"carbon offsets,request for ideas (RFI)",10/28/2019,AASHE,Presentation,Ruby Woodside,Innovative Services Manager,Second Nature,0123,Barbara Haya,Research Fellow,"University of California, Berkeley",4473,Camille Kirk,Director of Sustainability and Campus Sustainability Planner,"University of California, Davis",4501,Matthew Arsenault,"Program Manager, Duke Carbon Offsets Initiative",Duke University,1336,,,,,,,,,,,,,,,,,0915_Kirk_1407.pdf,https://files.aievolution.com/ash1901/events/16441/0915_Kirk_1407.pdf,,,,,,
2382,"Going Carbon Neutral - Giving Everyone a Voice, With Students Leading the Charge","Dr. Simon Pek and Dr. Rick Cotton will take you on Gustavson School of Business' journey to carbon neutrality. In sharing the story of this success their aim is to help others achieve the same goals: reduce our impact on the environment and teach students both by example and with opportunities for experiential learning. The session will cover the multi-step process the school employed to achieve carbon neutrality, from data collection to determine Gustavson's carbon emissions to implementing behaviour changes initiatives amongst faculty, staff and students. They will also walk participants through the crown jewel of the school's carbon neutrality strategy: our Carbon Offset Pitch Competition. Gustavson was eager to establish broad-based carbon neutrality because there has always been a strong desire by people at the School to be socially responsible and to operate sustainably. As educators for the next generation of business leaders Gustavson wanted to teach by example. The Carbon Offset Pitch Competition invites students to analyze carbon offset projects and make a portfolio recommendation to the School. Gustavson faculty, students and staff vote on the student portfolio entries, collectively determining how to achieve carbon neutrality. Dr. Pek and Dr. Cotton are excited to share Gustavson's experiences in the hopes that other institutions will take our carbon neutrality strategy and make it their own, ramping up the effects on the environment. They'd also like to collaborate with other Schools, helping them create their own competition or establishing other initiatives like behavioural change challenges. Filled with stories of successes and learnings along the way, Dr. Pek and Dr. Cotton will share suggestions for how to begin the journey to carbon neutrality at your institution.",University of Victoria,7860,,,,,,,,,,,Air & Climate,Campus Engagement,,"Business, Management, & Finance",,,"carbon neutrality,competitions,carbon offsets,students",10/29/2019,AASHE,Poster,Simon Pek,"Assistant Professor, Gustavson School of Business",University of Victoria,7860,Rick Cotton,Associate Professor,University of Victoria,7860,,,,,,,,,,,,,,,,,,,,,,,,,1100_Cotton_1695.pdf,https://files.aievolution.com/ash1901/events/17549/1100_Cotton_1695.pdf,1100_Cotton_1695_1119_124157.pdf,https://files.aievolution.com/ash1901/events/17549/1100_Cotton_1695_1119_124157.pdf,,,,
2059,Proxy Carbon Pricing for Identifying Climate-Smart Investments: Lessons From Practice,"Given the slow policy response by governments, climate action in higher education has become an essential part of maintaining policy momentum, driving innovation, and fostering social dialog. Carbon pricing has been identified by the Intergovernmental Panel on Climate Change and others as a powerful tool to change behavior, shift investments, and fund climate action. Despite the growth in carbon pricing in government and rapid growth in internal carbon pricing in the private sector, internal carbon prices (ICPs) at colleges and universities have only recently started to take root. We will summarize the kinds of ICP policies in use in higher education and describe several reasons why proxy carbon prices may be especially well suited to many schools - sometimes in concert with other kinds of ICPs. Using a unique dataset covering 10 years of real-world analysis with a proxy price from 3 schools, we analyze the interaction of ICPs with life-cycle cost analysis and identify when and how internal carbon pricing will be most likely to shift decisions and use it to highlight advice for experimentation and implementation. We will also highlight proxy carbon pricing tools available on the Internal Carbon Pricing in Higher Education Toolkit website that can help your school take the next step.",Smith College,4705,Princeton University,2597,,,,,,,,,Air & Climate,Coordination & Planning,Investment & Finance,,,,"carbon pricing,digital tools",10/29/2019,AASHE,Presentation,Alex Barron,Assistant Professor - ES&P,Smith College,4705,Shana Weber,"Director, Office of Sustainability",Princeton University,2597,Dano Weisbord,Director of Sustainability and Campus Planning,Smith College,4705,,,,,,,,,,,,,,,,,,,,,1445_Barron_1607.pdf,https://files.aievolution.com/ash1901/events/16667/1445_Barron_1607.pdf,,,,,,
1949,What is Carbon Neutrality for? A Framework for Sustainability Leadership Beyond Offsets,"The most important number in climate policy is zero - we need to achieve carbon neutrality as quickly as possible to avoid the worst impacts of climate change. Academic institutions have both the mission and the technical capacity to be leaders in the transition to a decarbonized society. Over 600 U.S. institutions have signed the American Association of University and College Presidents pledge to achieve carbon neutrality and a handful have already announced carbon neutrality. However, for most institutions, a lot of hard work remains. This presentation will discuss institutional commitments to carbon neutrality in the context of the broader climate policy ecosystem. Leveraging 8 years of Federal-level climate policy experience, we will discuss how a purely institutional focus on neutrality may limit the potential impact of higher education climate efforts. After a policy analysis of trajectories that existing schools have taken to carbon neutrality, we will present a draft framework for the highest leverage components of carbon neutrality, such as demonstrating and deploying technology, driving engagement, and conducting research. We will also discuss what the academic literature has to say about risks around offsets (and biomass) and how schools might take these risks into account when thinking about strategies.",Smith College,4705,Amherst College,2649,,,,,,,,,Air & Climate,Public Engagement,,,,,"carbon neutrality,climate policy,leadership,climate commitments",10/28/2019,AASHE,Presentation,Alex Barron,Assistant Professor - ES&P,Smith College,4705,Laura Draucker,Director of Sustainability,Amherst College,2649,,,,,,,,,,,,,,,,,,,,,,,,,1445_Barron_1642.pdf,https://files.aievolution.com/ash1901/events/16256/1445_Barron_1642.pdf,,,,,,
2191,Why Colleges Should Consider Nitrogen: Lessons from the NFT Network,"The NFT (Nitrogen Footprint Tool) Network was formed in 2014 to develop a tool for institutions to evaluate the impact of their activities and consumption on reactive nitrogen released to the environment, which contributes to a cascade of local and global impacts. This session will review the benefits and motivations for calculating a campus nitrogen footprint and familiarize new users with the process of performing simultaneous campus carbon and nitrogen footprint assessments in SIMAP. There are several motivations for campuses to use the N footprint component of SIMAP: 1. The nitrogen footprint is a robust indicator of food sustainability that can be used to justify and track initiatives in that area; 2. The nitrogen footprint can be used to support resiliency efforts, such as those in Second Nature's Resilience Commitment; and 3. The nitrogen footprint can frame understandings of an institution's relation to both local and global environmental pollution, which means it can contribute to initiatives that improve local environmental quality. Drawing on the work of the NFT Network over the past five years, this session will provide examples of what can be learned from a campus nitrogen footprint as well as what actions can be taken to achieve a more sustainable footprint. The NFT requires collaborations across campus to gather data and develop strategies to move towards a more sustainable footprint, particularly with food and dining operations and campus greenhouse gas assessment projects. Several campuses in the NFT Network have made strides towards setting nitrogen reduction goals, and there are many opportunities for further research and collaboration within and between campuses to improve these efforts. This session will highlight the achievements of the NFT Network and discuss areas of opportunity for the nitrogen footprint to contribute to campus and local efforts around sustainability and resilience.","University of California, Davis",4501,University of New Hampshire,0724,,,,,,,,,Air & Climate,Coordination & Planning,,,,,"nitrogen footprint,SIMAP",10/29/2019,AASHE,Presentation,Elizabeth Castner,"Graduate Student or Above, Graduate Student","University of California, Davis",4501,Jennifer Andrews,Project Director,University of New Hampshire,0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Not Your Grandma's CAP: An Interactive Climate Action Plan for Storytelling and Spurring Change,"Shouldn't a campus's climate action plan lead to actual 'actions'? One might say, of course! In reality, traditional climate actions plans become static reports that once done are least socialized/researched amongst campus community because static reports can only offer so much learning. The case study presented in this session walks the audience through the steps and tools used in development of University at Buffalo (UB)'s Integrated Collaborative Energy and Climate Action Plan (ICECAP). ICECAP was developed to update UB's existing climate action plan (CAP) from 2009. The project's inception was inspired by the need to have a tool to capture, visualize and present the story of greenhouse gas emissions (GHGs) on all three UB campuses. The project goals were; updating the campus GHG baseline, making the information accessible to campus community at large, increase data granularity, create a clear reduction pathway and establish accountability with verification. The final product became an online tool that users can interact with to understand where the largest sources of emission are, what the impact of each reduction strategy is and where the biggest bang for the buck on capital projects is. The online platform also allows students to directly access the data for research projects and engagement on sustainability-related courses.",CannonDesign,5761,,,,,,,,,,,Air & Climate,Coordination & Planning,,,,,"climate action plans,digital tools,emissions reporting",10/28/2019,AASHE,Presentation,Amir Rezaei,Business Representative,CannonDesign,5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0830_Rezaei_1272.pptx,https://files.aievolution.com/ash1901/events/16122/0830_Rezaei_1272.pptx,,,,,,
2228,"Understanding Climate Motivators, Barriers, and Required Resources for Action","Post-secondary institutions are viewed as leaders in their communities; this includes action on climate change to ensure a prosperous future for their graduates filled with opportunities for success. Though high motivation for climate action is prevalent throughout higher education certain barriers exist that may prevent implementation of large-scale greenhouse gas reduction initiatives. The Campus Carbon Management Initiative (CCMI) is an Ontario initiative that works to support post-secondary climate action by providing resources that address described barriers. In its first year, the CCMI interviewed 21 colleges to understand the motivators, barriers, and resources required for emissions reduction progress. Resources are located in a free online toolkit that was released in March 2019. This session will cover the outreach process, identified motivators and barriers, as well as the supports described by colleges.",Mohawk College,6363,,,,,,,,,,,Air & Climate,Public Engagement,,,,,"motivation,barriers,climate action,inter-campus collaboration,digital tools",10/28/2019,AASHE,Poster,Emily Vis,Project Lead,Mohawk College,6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,Welcome and Unwelcome Surprises on the Path to Carbon-Neutrality,"For many colleges and universities, the commitment to carbon-neutrality was initially a pledge based upon a leap of faith that was judged too important to delay until a clear path was understood. Now we have more than a decade of effort behind us which includes some pleasant surprises and some setbacks, and many lessons learned along the way. This presentation will take a candid look at what we have learned that will enable us to make course corrections and attain our commitment to carbon-neutrality. I will discuss the cost to reach carbon-neutrality; pathways that are more and less feasible than anticipated; strategies that may become viable if public policy, technology, and markets respond within our timeframe; and strategies that looked more promising at the outset then they do today. I will discuss some tough questions as well, such as whether emissions offsets are efficacious as an interim measure, a long term measure, or a stop-gap measure that will delay the kind of curve-bending progress needed by 2030; whether RECs are categorically more effective than emissions offsets; whether 'electrification' can be counted upon as the 'gold standard' pathway; whether purchasing renewables without equivalent storage is really a carbon-neutral action; and whether load-shifting, in itself, can be a carbon-neutral strategy in a grid with a deep 'duck curve.' As 2020 approaches, this is an appropriate time to pause and evaluate some tough questions, reflect on what we have learned, and possibly make some nuanced adjustments based on both lessons learned that will only be valuable if shared, and on emerging tools that may be fostered if we can support them with collective advocacy. This presentation will definitely not be a 'more of the same' message.","University of California, Irvine",4502,,,,,,,,,,,Air & Climate,Coordination & Planning,,,,,"carbon neutrality,emissions reporting,climate commitments",10/28/2019,AASHE,Presentation,Wendell Brase,Associate Chancellor - Sustainability,"University of California, Irvine",4502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400_Brase_1477.pptx,https://files.aievolution.com/ash1901/events/16204/1400_Brase_1477.pptx,,,,,,
