Program Name,Description or Abstract,Organization1,Organization1id,Sustainability Topic1,Sustainability Topic2,Academic Discipline1,Academic Discipline2,Academic Discipline3,Tag1,Tag2,Tag3,Program Type,Learning Outcomes,Expected Completion Time,Website1label,Website1URL
Environmental Studies (BA),"The BA in environmental studies is designed to guide students who have interests in environmental management through a program that links courses in the natural and social sciences. Students successfully completing this program could expect to pursue graduate programs in such fields as Law, Public policy, Urban and regional planning, Environmental management",University of Rochester,2876,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Baccalaureate degree,,,Environmental Studies (BA),http://www.sas.rochester.edu/ees/undergraduate/environmental-studies-ba.html
Sustainability Minor,"The Sustainability minor is intentionally interdisciplinary and includes core classes from the sciences, social sciences, and humanities. The minor allows for three additional electives chosen from the sciences or social sciences (at least one science elective is required). The goal of the minor is to provide a curriculum that encourages students to learn to communicate and to solve problems of societal relevance that straddle disciplinary boundaries in sustainability and global change.",University of Rochester,2876,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Minor,,,Sustainability Minor,http://www.sas.rochester.edu/sus/undergraduate/minor-clusters.html
Environmental Engineering Minor,The objective of the minor program is to provide students with core technical proficiency in environmental engineering analysis.,University of Rochester,2876,Curriculum,,Environmental Studies & Sciences,Engineering,,environmental engineering,,,Minor,,,Environmental Engineering Minor,http://www.hajim.rochester.edu/che/undergraduate/minor.html#environmental
Environmental Humanities Minor,"This minor provides a structure for students to master new methodologies and gain critical analysis skills. It encourages them to investigate how culture, history, and imagination shape our understandings of ecological issues, and to interrogate how environmental problems and solutions have been narrated, defined, identified, and framed.",University of Rochester,2876,Curriculum,,Environmental Studies & Sciences,Humanities (except languages),,,,,Minor,,,Environmental Humanities Minor,http://www.sas.rochester.edu/ehu/academics/index.html
Geosciences (PhD),Students in the PhD in geosciences program at the University of Rochester are expected to spend three to five semesters in intensive coursework (both within the department and in other departments) before taking their qualifying examinations. They are encouraged to start research as early as possible and are expected to spend all their time on research after having passed the qualifying exams. An integral part of the education at Rochester is the involvement of graduate students in undergraduate teaching in the early years.,University of Rochester,2876,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Doctoral Degree,,,Geosciences (PhD),https://www.sas.rochester.edu/ees/graduate/phd.html
Geosciences (MS),"The Geosciences department has an MS program, which emphasizes involvement in research projects. Typically, students joining the MS program do course work during the first year and complete MS research and thesis in their second year.",University of Rochester,2876,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Master's Degree,,,Geosciences (MS),https://www.sas.rochester.edu/ees/graduate/ms.html
Environmental Sociology Specialization (PhD),Boston College's Sociology PhD program has a environmental sociology cluster of faculty that provides approximately 25% of the department's students with a specialization in environmental sociology.,Boston College,2230,Curriculum,,Environmental Studies & Sciences,"Social Sciences (Economics, Geography, Political Science, etc)",,sociology,,,Specialization/Concentration/Emphasis,,,Environmental Sociology Specialization (PhD),https://www.bc.edu/content/bc-web/schools/mcas/departments/sociology/people/faculty-clusters.html
Environmental and Sustainability Studies Minor,"The new Minor in Environmental and Sustainability Studies is accessible for every possible undergraduate student at Carnegie Mellon University, regardless of his or her college or major. There is a wide range of electives and they should be discussed with the faculty advisor. The minor replaces the earlier minors in Environmental Science (Mellon College of Science), Environmental Studies (Dietrich College of Humanities and Social Sciences), and Environmental Engineering & Sustainability (College of Engineering).",Carnegie Mellon University,2849,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,sustainability studies,,,Minor,"Upon completion of the Minor in Environmental and Sustainability Studies, students should be able to: apply social and scientific perspectives to environmental problems, distinguish among scientific methods for evaluating environmental problems, identify and assess sources of environmental data, identify environmental justice issues within the context of proposed policy solutions; distinguish among impacts on different communities, and different groups of stakeholders, when considering environmental problems and proposed solutions",,Environmental and Sustainability Studies Minor,https://coursecatalog-new.web.cmu.edu/schools-colleges/melloncollegeofscience/melloncollegeofscienceminors/#minorinenvironmentalsciencetext
Master of Urban Design (MUD),"The Master of Urban Design (MUD) degree is a post-professional, two-­year program that prepares graduates for careers using urban design to critically address environmental, economic, social, political, and cultural issues affecting contemporary urbanization. The studio-­based curriculum allows students to explore design strategies in a variety of scales and settings, from the post-­industrial city to the dense metropolis, from sprawling suburbia to informal settlements.",Carnegie Mellon University,2849,Curriculum,,"Urban, Community & Regional Planning",Architecture,Design,urban focus,,,Master's Degree,,,Urban Design (MS),https://soa.cmu.edu/mud
Master of Science in Sustainable Design (MSSD),"The MSSD program critically engages and investigates environmental issues related to architecture and urban systems at the intersection of building science, design, and technology. The MSSD program explores technical and multicultural aspects of ecological thinking, while enabling actionable expertise in sustainable design methodologies. Based in the legacy of sustainability teaching at Carnegie Mellon University, the MSSD program investigates research-based design innovation strategies, prepares students to excel in research methods, and to become experts in integrative design thinking for the future of the built environment.",Carnegie Mellon University,2849,Curriculum,,Architecture,Design,,construction,,,Master's Degree,,,Master of Science in Sustainable Design (MSSD),https://soa.cmu.edu/mssd
