Program Name ,Description,Organization1,Organization1 ID,Organization2,Organization2 ID,Topic1,Topic2,Acad Discipline1,Acad Discipline2,Acad Discipline3,Tag1,Tag2,Tag3,Tag4,Year Founded (200x),Program Type,Learning Outcomes,Expected completion time,Approx # students completing program annually,Distance Ed.,Commitment,Link URL
Sustainable Agriculture Minor,"Students who select this minor will learn about sustainable agriculture in its broadest sense, including issues related to maintaining and/or improving crop and animal productivity, preserving environmental resources for future generations, ensuring farm profitability, and ensuring rural community vitality and viability. They learn how to build markets and opportunities for producers, and they help consumers make ""green"" choices on purchased products. ",University of Wisconsin-River Falls,508,,,Curriculum,,Agriculture,,,sustainable agriculture,,,,,Minor,,,,,,http://www.uwrf.edu/Catalog/DegreeRequirements/SustainableAgricultureMinor.cfm
Agroecosystems Management (MS),"Major research emphases are precision crop and nutrient management and management systems that improve efficiency of crop water use. Additional research emphases include soil carbon and nutrient dynamics in cropping systems, beneficial use of manures, biosolids, and other wastes, crop variety development, forage management, and development of biofuel and other alternative crops. ",Colorado State University,828,,,Curriculum,,Agriculture,,,sustainable agriculture,,,,,Master's Degree,,,,,,http://soilcrop.agsci.colostate.edu/graduate-programs/graduate-programs-of-study/
Agriculture & Natural Resources (BS),Berea College is one of few liberal arts colleges in the United States offering an academic program in agriculture and natural resources (ANR). The ANR Program’s curriculum provides all students with a sound foundation in ANR. It also provides flexible options to pursue training in particular areas of interest. ,Berea College,855,,,Curriculum,,Agriculture,,,natural resources,,,,,Baccalaureate degree,,,,,,https://www.berea.edu/anr/
Sustainable Agriculture Minor,"A minor in Sustainable Agriculture is open to all Cal Poly students. In it, students approach modern agricultural problems from a holistic perspective, emphasizing agricultural planning integrated with ecological principles. Through experience in sustainable agricultural practices, students learn about a farm in the context of an agro-ecosystem: a system whose processes and relationships can be manipulated to allow production with fewer adverse environmental impacts and external inputs. Students develop knowledge and skills involving holistic management, crop production, and adaptive decision-making in a hands-on environment. ",California Polytechnic State University,1124,,,Curriculum,,Agriculture,,,sustainable agriculture,,,,,Minor,,,,,,http://www.sarc.calpoly.edu/sustainable_ag_minor.html
Sustainable Agriculture Certificate Program,"The six week certificate program provides an intensive introduction to small scale sustainable farming, hands-on hydroponic greenhouse management, and agribusiness preparedness. ","California State Polytechnic University, Pomona",1219,,,Curriculum,,Agriculture,,,sustainable agriculture,,,,,Undergraduate Certificate/Diploma,,,,,,https://www.cpp.edu/~ceu/professional-development/courses-and-certificates/agriculture/sat/index.shtml
Bachelor in Environmental Agriscience,"With its combination of courses in the traditional sciences and agriculture courses, Environmental Agriscience students are prepared for a wide range of experiences. A 300-acre working, teaching and research farm located 3 miles from campus, the Tech Farm, is also home to the Hyder-Burks Pavilion, which hosts multiple agricultural activities including The Home Show, the Tennessee Tech Garden Club Annual Plant Sale, and Farm Days.",Tennessee Technological University,1491,,,Curriculum,,Agriculture,Environmental Studies & Sciences,,,,,,,Baccalaureate degree,,,,,,https://www.tntech.edu/aghs/academic-programs/school-of-ag/areas-of-study/envagri
"Environmental Science, Food Systems & Sustainable Agriculture (BS)","Students studying Food Systems & Sustainable Agriculture build upon a solid foundation of environmental science, gain experience in designing and managing agricultural ecosystems, develop quantitative skills in evaluating ecosystem processes and services, and practice making management and policy recommendations based on available data. Students have opportunities to engage in work with local food systems through hands-on courses in Loyola’s greenhouses, market gardens, and laboratories as well as through service-learning with community partners. Working with faculty mentors offers additional research opportunities in national and international food systems and management policies. Students can also support their individual interests and career paths though undergraduate research, internships, and/or study-abroad. The BS in Food Systems & Sustainable Agriculture prepares students for careers in government agencies, consulting, non-profit organizations, outreach and extension, or to pursue advanced study in environmental science and policy, agricultural ecology, natural resource management, law or urban/regional planning. ",Loyola University Chicago,1865,,,Curriculum,,Agriculture,,,food systems,sustainable agriculture,,,,Baccalaureate degree,,,,,,http://www.luc.edu/sustainability/academics/undergraduateprograms/bsinenvironmentalsciencefoodsystemsandsustainableagriculture/
"BS in Agriculture, Major in Sustainable Agriculture Systems","Students will develop the skill needed to lead in sustainable agricultural systems with this major stream. Students will have the opportunity to widen their knowledge base by: Studying agriculture in the wider context of local, national and international perspectives, Considering the links between human activity and agricultural institutions, and Developing expertise in agricultural production systems, natural resource management and the interrelationship of these with our social and economic systems. ",University of Alberta,2224,,,Curriculum,Grounds,Agriculture,Sustainability Studies & Science,,sustainable agriculture,,,,,Baccalaureate degree,,,,,,https://www.ualberta.ca/agriculture-life-environment-sciences/programs/undergraduate-programs/degree-programs/agriculture/sustainable-agricultural-systems
"Water Efficient Landscaping Specialization, Horticulture MPSH","The purpose of this degree is to provide horticulturalists with knowledge and skills needed to effectively promote landscape water conservation. As water becomes more precious, the demand for these skills will continue to increase. ",Utah State University,2866,,,Curriculum,Grounds,Agriculture,,,landscaping,horticulture,,,,Specialization/Concentration/Emphasis,,,,,,https://www.usu.edu/degrees/index.cfm?id=59
Agricultural Sustainability & Food Biosecurity Certificate,"The USDA recognizes the need to ensure a competent, qualified, and diverse workforce to serve the food and agricultural sciences and improve the economic health and viability of rural communities. Thus, there are lots of job opportunities in industries targeted by this certificate. ",University of South Florida,2939,,,Curriculum,Food & Dining,Agriculture,,,sustainable agriculture,,,,,Undergraduate Certificate/Diploma,,,,,,http://biology.usf.edu/ib/ug/certificates/
