Presentation Title,Description or Abstract,Organization1,Organization1_id,Organization2,Organization2_id,Organization3,Organization3_id,Organization4,Organization4_id,Organization5,Organization5_id,Organization6,Organization6_id,Organization7,Organization7_id,SustainabilityTopic1,SustainabilityTopic2,SustainabilityTopic3,AcademicDiscipline1,OfficeDepartment1,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Title,Author1_Org,Author1_OrgID,Author2_Name,Author2_Title,Author2_Org,Author2_OrgID,Author3_Name,Author3_Title,Author3_Org,Author3_OrgID,Author4_Name,Author4_Title,Author4_Org,Author4_OrgID,Author5_Name,Author5_Title,Author5_Org,Author5_OrgID,Author6_Name,Author6_Title,Author6_Org,Author6_OrgID,Author7_Name,Author7_Title,Author7_Org,Author7_OrgID,Author8_Name,Author8_Title,Author8_Org,Author8_OrgID,File1,File2,File3,File4
A Journey to Real Food: Growing an Intersectional Food Movement through Student Involvement and Empowerment,"Empowered communities yield brilliant minds. Empowered, well fed communities allow for meaningful growth in all areas. The intersectional nature of sustainable food, thought, and community driven enterprises brought the Real Food Challenge (RFC) to life. Both Fort Lewis College and Gonzaga University have found that exploring the nuances of intersectionality and inspiring student involvement are integral in the success of the RFC. This presentation will discuss how the shift towards 'real' food impacts the sustainability of a school and plays a part in recognition of diverse groups, classist structures, and the ability to foster connections within a broader community. Participants should expect to explore the privilege and responsibility in revolutionizing a food system and why it is more effective to empower students rather engage them. We will share best practices for implementation, struggles we have faced in reaching procurement goals, and a unique initiative to address community wide involvement in the RFC. This workshop aims to spread food democracy and sustainability while fostering a greater sense of purpose in how the RFC interacts with campuses, community members, and the food industry.",Gonzaga University,2258,Gonzaga University,2258,Fort Lewis College,1822,,,,,,,,,Food & Dining,Campus Engagement,,,,"real food,intersectionality",10/17/2017,AASHE,Presentation,Laura Marck,Student,Gonzaga University,2258,Kathryn Graham,,Gonzaga University,2258,Angela Rae,Undergraduate Student,Gonzaga University,2258,Elizabeth Terry,student,Gonzaga University,2258,Kaidee Akullo,Environmental Center Student Staff,Fort Lewis College,1822,Rachel Landis,Environmental Center Coordinator,Fort Lewis College,1822,Aolani Peiper,Real food challenge team coordinator,Fort Lewis College,1822,Katrina Rachwitz,,Fort Lewis College,1822,0915_Akullo.pdf,,,
Organizing for Sustainability: How Student Sustainability Groups Make a Difference,"From clubs to official classes, internships to independent volunteering, students are often the primary drivers of campus sustainability efforts. Yet student organizations can also face real challenges, including group continuity and recruiting, reluctant or indifferent administrators, finding funding and willing collaborators, and building effective organizations. It's hard for any group to keep working toward sustainability if it's constantly struggling to sustain itself. This panel will feature students and sustainability staff from 5 universities discussing best practices for successful, sustained student engagement as well as what challenges have been most daunting and how they might be overcome. While we might not have all the answers, we'll discuss what has worked and what hasn't where we are, and we'll compare our answers to the most pressing questions. What is the right balance for student organizations between collaboration and protest? What is the proper role for sustainability staff in working with student organizations? How do we truly institutionalize long term student engagement in sustainability work on our campuses? How should we measure success? This will be a shared learning session, with very short presentations from each institution followed by abundant time for questions from and discussion with the audience.",University of Arizona,4465,University of Northern Iowa,3690,Trinity University,2593,Northern Arizona University,0567,The Ohio State University,2335,,,,,Campus Engagement,,,,,student organizations,10/16/2017,AASHE,Presentation,Chester Phillips,Senior Sustainability Coordinator/ Compost Cats Project Director,University of Arizona,4465,Alanna Gerardi,,University of Arizona,4465,Michaela Webb,Farm Manager,University of Arizona,4465,Eric O'Brien,Sustainability Coordinator,University of Northern Iowa,3690,Gabriella Ruggiero,,University of Northern Iowa,3690,Kristen Rundstein,,Trinity University,2593,Sarah Holditch,Student Leader,Northern Arizona University,0567,Thomas Reeves,Director--Energy Management & Sustainability,The Ohio State University,2335,,,,
Food Service Companies and Campuses Innovating to Source More Local Food,"This session will focus on increasing local food purchasing through stakeholder engagement at universities in Arizona, Maine, Michigan and Vermont. GVSU continues to expand its sustainable agriculture educational opportunities and also provides Aramark with local, organic produce for use at its Certified Green Restaurant. This meets Aramark goals while supporting the GVSU Strategic Plan. This collaboration also allows for more Farm to Table dining options and innovative, sustainable menus for students, faculty, and staff. In Vermont and Maine, Sodexo launched statewide initiatives to increase local food purchasing in the institutional market that have forged new approaches to address enduring challenges in the farm to institution landscape, from effective collaboration to accurately measuring change. Attendees will learn how Sodexo's Vermont First and Maine Course initiatives have assembled statewide stakeholder groups and about Sodexo's best practices in local tracking and creative collaborations. At a large university like Arizona State University, there is a unique and diverse customer base that relies on Aramark food service's campus dining for most or all of their meals. Thus, businesses are eager to get their company featured in campus dining locations. Join us in learning how campus dining services can forge connections between local companies and university students and faculty through local procurement and sourcing from ASU's Campus Harvest program.",Grand Valley State University,2426,Aramark Higher Education,3691,Sodexo,3600,University of Vermont,3995,,,,,,,Food & Dining,Purchasing,,,,local foods,10/16/2017,AASHE,Presentation,Yumiko Jakobcic,Campus Sustainability Coordinator,Grand Valley State University,2426,Colin Yonkers,Food Service Director,Aramark Higher Education,3691,Annie Rowell,Vermont First Coordinator,Sodexo,3600,Maeve McInnis,Maine Course Director,Sodexo,3600,Caylin McKee,,University of Vermont,3995,Krista Hicks,Sustainability Manager,Aramark Higher Education,3691,Austin Johnson,Sustainability Coordinator,Aramark Higher Education,3691,,,,,,,,
"Rookies, Newbies, Imposters, & Not-Yet-Experts: Navigating Newness, Isolation, and/or Competence for Sustainability Professionals in Higher Education","Panelists and audience members will share perspectives, experiences, and advice as they discuss challenges and support strategies at the intersections of newness, isolation, and competence for sustainability professionals in higher education. This panel is meant to serve a broad audience: Rookie sustainability officers or people who are relatively new sustainability professionals in higher education; (Mildly) experienced sustainability officers who are relatively new to coordinating sustainability at their current institutions; Sustainability officers at institutions where coordinating sustainability is a relatively new or unknown effort; Sustainability officers who are not new, but nonetheless feel somewhat stuck, lost, or uncertain in their roles; Sustainability officers who are the lone sustainability staff at their institutions, or who otherwise experience feelings of isolation in their roles; Sustainability officers who sometimes feel like imposters among their sustainability peers and stakeholders; People who manage someone(s) who might fall into one or more of the categories above. The panel will consist of six sustainability officers representing varying perspectives, institution types, and degrees of experience/expertise in relation to this topic. This panel session is meant to jumpstart conversation for a networking meeting on the same topic.",Indiana University Bloomington,6354,Marquette University,1378,East Carolina University,0038,University of Tennessee at Knoxville,3031,University of Illinois at Chicago,1541,Harvey Mudd College,4452,Emory University,3931,Coordination & Planning,Public Engagement,,,,sustainability officers,10/16/2017,AASHE,Presentation,Makayla Bonney,Assistant Director of Sustainability,Indiana University Bloomington,6354,Brent Ribble,Campus Sustainability Coordinator,Marquette University,1378,Chad Carwein,University Sustainability Manager,East Carolina University,0038,Preston Jacobsen,Sustainability Manager,University of Tennessee at Knoxville,3031,Sarah Koning,Sustainability Fee & Sustainability Internship Manager,University of Illinois at Chicago,1541,Louis Spanias,Sustainability Program Manager,Harvey Mudd College,4452,Taylor Spicer,Program Coordinator,Emory University,3931,,,,,0915_Ribble_2692.pptx,,,
Sustainability in Residential Life,"Looking to build campus connections? Consider working with your institution's Residence Life Department! This session will highlight four different case studies of engagement with Residence Life, a department that touches almost all students on campus. Concordia College will provide an overview of how Residence Life Departments often look, why you should consider partnering together, how you can take some of those first steps, and how to trouble shoot some problems you may run into NYU will provide an overview of their residence halls energy-savings competition. It will also cover challenges and new creative ways to promote engagement through the use of social media. The Rose-Hulman Institute of Technology will showcase their HERE program, a living-learning experience for first-year students who want to learn about sustainability in engineering and science. As they live together in one residence hall, students take a series of sustainability-focused courses, which culminates in a spring-quarter design project to improve the campus. Northern Arizona University will share the student perspective on the challenges and rewards of being an Eco-Rep, who provide peer education on sustainable living habits in their assigned residence hall and around campus.",New York University,2138,Concordia College,2930,Rose-Hulman Institute of Technology,3135,Northern Arizona University,0567,,,,,,,Campus Engagement,Buildings,,,Housing & Residence Life,residence halls,10/17/2017,AASHE,Presentation,Dianne Anderson,Director of Sustainability,New York University,2138,Aryn Aiken,,New York University,2138,Kylie Windecker,Hall Director,Concordia College,2930,Mark Minster,Associate Professor of English and Comp Lit,Rose-Hulman Institute of Technology,3135,Jennifer Mueller Price,Associate Professor of Civil and Environmental Engineering,Rose-Hulman Institute of Technology,3135,Kasey Kallevig,Eco Rep,Northern Arizona University,0567,,,,,,,,,1445_Kallevig.pdf,1445_Windecker.pdf,,
Engaging Tech-Savvy Students in Curricular and Co-Curricular Sustainability Programs for Social and Environmental Change,"Sustainability education can meaningfully build and enhance relationships with diverse stakeholders while engaging students in learning that promotes social and environmental change. Leaders from Georgia Tech will share their experiences linking technological learning with campus and community projects. We will discuss the sustainability landscape at Georgia Tech and the unique challenges of engaging technically-minded students and faculty. We will present the challenges and successes of our new campus wide academic initiative, Serve-Learn-Sustain, related to building a coalition of faculty, staff, and students across campus to integrate themes of sustainable communities into classroom learning. We will discuss engaging students in the classroom through community engagement and service-learning, as well as the connection to co-curricular programs allowing students to use their technical skills. We will focus on several case studies, including Georgia Tech's Greenovation competition and 'Turn Down for Watt' project (students engineering their own hardware and software to create a dorm energy competition), as well as a partner collaboration with Mechanical Engineering faculty and students on a Capstone project to build the Advanced Atmospheric Research and Monitoring Station, focused on sustainability and reducing health disparities through air pollution. We will consider the ways in which we can build on the success of co-curricular programs to enhance student learning.",Georgia Institute of Technology,1109,"HTS Enterprise, LLC",8305,,,,,,,,,,,Campus Engagement,Curriculum,,,,"service learning,technology,students",10/17/2017,AASHE,Presentation,Kristina Chatfield,Program Manager,Georgia Institute of Technology,1109,Anne Rogers,Associate Director,Georgia Institute of Technology,1109,Malte Weiland,Sustainability Project Manager,Georgia Institute of Technology,1109,Garry Harris,Managing Director,"HTS Enterprise, LLC",8305,Michelle Henriques,Student,Georgia Institute of Technology,1109,Natalie Chu,Student,Georgia Institute of Technology,1109,,,,,,,,,0915_Chatfield_2716.pdf,,,
Less & Better Meat in University Dining Services,"Reducing the quantity and improving the quality of the meat we eat can help mitigate climate change, improve our health, set a higher standard for the treatment of animals and support sustainable, independent farmers and ranchers. Join us and discuss strategies for sourcing and serving 'less and better' meat on college and university campuses. We will discuss current initiatives, barriers, pathways/solutions and collective goals for our less and better meat work. We hope to engage students, food service staff, food procurement officers, sustainability office staff, and any other university faculty, staff and administrators in a discussion on how best to tackle this important food shift. We hope that participants will gain important information, inspiration and a lasting connection to one another on this work.",Friends of the Earth,7729,Farm Forward,7604,Real Food Challenge,6891,University of Massachusetts Amherst,1727,,,,,,,Food & Dining,Campus Engagement,,,,"vegan & vegetarian dining,meat reduction",10/17/2017,AASHE,Presentation,Julian Kraus-Polk,,Friends of the Earth,7729,Jen Dalton,"Program Manager, Friends of the Earth",Friends of the Earth,7729,Andrew deCoriolis,Director of Policy,Farm Forward,7604,Claire Fitch,,Farm Forward,7604,Hannah Weinronk,National Program Coordinator,Real Food Challenge,6891,Garett Distefano,Director Residential Dining and Sustainability,University of Massachusetts Amherst,1727,,,,,,,,,,,,
Brave Together: Learning What We Don't Know About Diversity,The US current political climate is one of division and conflict. With the protests in Charlottesville and Boston the opportunity has presented itself to face injustice head on. College campuses have a unique opportunity to spend time creating dialogue around these issues to help people learn and take action. We will hear from 5 campuses who are rising to the occasion and work through an exercise on active listening that you can do on your campus.,Bentley University,0854,Princeton University,2597,University of Missouri,3593,University of Virginia,4028,Chemeketa Community College,6281,University of Michigan,1744,,,Diversity & Affordability,,,,,"active listening,discrimination response",10/16/2017,AASHE,Presentation,Natalie Berland,Manager of Sustainability,Bentley University,0854,Caroline Savage,Campus as a Living Lab Manager,Princeton University,2597,Srinivasan (Raghu) Raghavan,Sustainability Manager,University of Missouri,3593,Nina Morris,Outreach & Engagement Program Manager,University of Virginia,4028,Stephania Fregosi,Sustainability Coordinator,Chemeketa Community College,6281,John Callewaert,"Emerging Opportunities Director, Graham Sustainability Institute",University of Michigan,1744,,,,,,,,,1130_Savage_3005.pptx,1130_Callewaert_3005.pdf,,
Next Generation Campus Green Funds,"Through the use of green funds, colleges and universities have the ability to empower students who are passionate about bringing clean energy and sustainable projects to their campuses. This joint presentation will focus on the use of green funds at Appalachian State University, New York University, Mohawk College, and The Evergreen State College. Each institution has been successful in utilizing a student fee to sponsor campus sustainability projects. Appalachian State University's presentation on the Renewable Energy Initiative will address their strategies to expand the scope of their work. New York University's presentation will cover the Green Grants program and its success at institutionalizing sustainable change. Mohawk College will feature the Sustainability Initiatives Fund and its Idea Bank campaign, which engages students in bringing their sustainable project ideas to fruition. The Evergreen State College will speak about the creation of the Clean Energy Committee, which operates as both a fund for renewable energy credits to power the college, as well as a fund for student and staff sustainability research, education, and projects. This joint session will illustrate the challenges and successes of using student funds to effectively impact campus sustainability.","Evergreen State College, The",3959,Appalachian State University,4398,Mohawk College,6363,New York University,2138,,,,,,,Investment & Finance,Campus Engagement,,,,"green funds,students",10/16/2017,AASHE,Presentation,Erin Sherrer,,"Evergreen State College, The",3959,Jonathan Williford,"Secretary, SGA Representative",Appalachian State University,4398,Alan Griffiths,"Manager, Sustainability",Mohawk College,6363,Emily Baynes,"Interim Manager, Sustainability",Mohawk College,6363,Alexander Butler,Chair,"Evergreen State College, The",3959,Dianne Anderson,Director of Sustainability,New York University,2138,,,,,,,,,0915_Williford.pdf,0915_Butler.pptx,,
Strategic Alignment: Communicating Sustainability's Contributions and Value to Mission Level Priorities,"Given the challenges facing higher education, from ongoing budget cuts and an affordability crisis to new political realities, sustainability professionals must identify and make a case for the ways in which sustainability, carbon neutrality and resilience can help executive leadership overcome these barriers. For the last four years, the Big Ten and Friends Sustainability Group has been discussing how we might identify: 1) common executive leadership priorities (e.g., supporting financial stewardship and affordability, increasing the value of an undergraduate education, catalyzing innovative research) across our institutions, 2) how sustainability contributes to these priorities, and 3) how to measure these contributions quantitatively and qualitatively. The resulting Big Ten Prospectus, and extensions of the project through Second Nature, have provided us a new language--capable of describing sustainability, carbon neutrality and resilience's value using the terms and concepts embedded in mission level priorities--for supporting our work, from engaging executive leaders to stakeholder engagement to program evaluation. This panel will address the evolution of this project, the processes we developed, strategies for using this new language, and reflections about where we need to go next.",Pennsylvania State University,4190,"University of Minnesota, Twin Cities",0032,Harvard University,4451,Second Nature,0123,Purdue University,4793,,,,,Coordination & Planning,Campus Engagement,,,,"communications,value of sustainability",10/17/2017,AASHE,Presentation,Emilie Rex,Sustainability/Resilience Consultant,,,Denice Wardrop,Senior Scientist,Pennsylvania State University,4190,Shane Stennes,Director of Sustainability,"University of Minnesota, Twin Cities",0032,Leith Sharp,"Director, Executive Education for Sustainability Leadership",Harvard University,4451,Ruby Woodside,Innovative Services Manager,Second Nature,0123,Michael Gulich,Director of Campus Master Planning and Sustainability,Purdue University,4793,,,,,,,,,,,,
